Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA RACKOGA 5,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,TRG HRVATSKIH VELIKANA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,TRG KRALJA PETRA KRESIMIRA IV. 6,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,REMETINECKI GAJ 14,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,NEHRUOV TRG 15,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,AVENIJA VECESLAVA HOLJEVCA 22,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,TRNSKO 34,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,MESTROVICEV TRG 16,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,KARAMANOV PRILAZ 4,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,KAUZLARICEV PRILAZ 7,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA ZLATAROVA ZLATA 82 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA VLADIMIRA VARICAKA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ISLANDSKA ULICA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,HORVATI,HORVACANSKI TRG 1,10436,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,BREZOVICA,BREZOVICKA CESTA 102,10257,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,HRASCE TUROPOLJSKO,TRG JURJA MULIHA 11,10020,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,BUZIN,BUZINSKA CESTA 20,10010,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,KRUGE 44,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA LJERKE SRAM 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,RAPSKA ULICA 37,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ODRANSKA ULICA 10,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ZAVRTNICA 17 B,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,RADNICKA CESTA 45,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA GRADA VUKOVARA 37,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA FRANA FOLNEGOVICA 10,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ODRANSKA ULICA 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA VJEKOSLAVA KLAICA 7,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,KURELCEVA ULICA 3,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,TRG BANA JOSIPA JELACICA 15,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA KNEZA BRANIMIRA 4,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA ELEONORE PATACIC 1 B,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA KNEZA BRANIMIRA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,MEDVESCAK 59,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,NEMETOVA ULICA 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,TRG DRAGE IBLERA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA PAVLA SUBICA 36,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA VJEKOSLAVA KLAICA 16,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,POLJICKA ULICA 12,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,VESLACKA ULICA 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,AVENIJA MARINA DRZICA 14,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,SIGET 18 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,AVENIJA DUBROVNIK 15,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,VRBIK VI. 10 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,AVENIJA VECESLAVA HOLJEVCA 10,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,SAVSKI GAJ IX. 2 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA BARTULA KASICA 6,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,KUPINECKI KRALJEVEC,KRALJEVECKI BRIJEGI 69,10251,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,SLAVONSKA ULICA 35,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,RESNICKI PUT 81,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ALEJA LIPA 2 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA VILE VELEBITA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,LJUBIJSKA ULICA 60,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,PRSAKI 34,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ALEJA BLAZA JURISICA 13,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,DUBECKA ULICA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,GRIZANSKA ULICA 4,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA METELA OZEGOVICA 5,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,MARKUSEVECKA TRNAVA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,MARKUSEVECKA CESTA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,BUKOVACKA CESTA 273,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,SEFEROVA ULICA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,REBAR 33,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,HEGEDUSICEVA ULICA 20,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,KOSA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA GRADA VUKOVARA 239,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA VLADIMIRA VIDRICA 38,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,KOZARI BOK IX. ODVOJAK 11,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,IVEKOVICEVA ULICA 17,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA HERMANA BUZANA 12,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA PETRA PETROVICA NJEGOSA 10,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,IVANJA REKA,ULICA ANTUNA VUGRINA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,NINSKA ULICA 16,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,DUGOSELSKA CESTA 43,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,BELOVAR,VARAZDINSKA ULICA 47,10363,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,TRG ANTUNA MIHANOVICA 3,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ADAMOVEC,ULICA KNEZA ADAMA 7,10363,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,MAKSIMIRSKA CESTA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA DRAGUTINA HIRCA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,BOZIDAREVICEVA ULICA 13,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA METELA OZEGOVICA 9,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,PRILAZ TOMISLAVA SPOLJARA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,RADNICKA CESTA 82,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,RADNICKA CESTA 175,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,PORECKA ULICA 7 B,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,DONJE SVETICE BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA JOZE LAURENCICA 20,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,GETALDICEVA ULICA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ZITNJAK 59,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,ULICA GRADA CHICAGA 17,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,ZAGREB,VINEC 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,ULICA LADISLAVA SABANA 18,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,RADNICKI DOL 24,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ILICA 87,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA VJEKOSLAVA KLAICA 44,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,VRTLARSKA CESTA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,MIKULICI 189,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA PETRA ZRINSKOG 9,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,KORDUNSKA ULICA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,DUNJEVAC 17,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,VRABECAK 4,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA MATIJE VLACICA ILIRIKA 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,PODSUSEDSKA ALEJA 79,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA MAHATME GANDHIJA 5,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,MEDARSKA ULICA 67,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA JOSIPA MOKROVICA 4,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,PARK STARA TRESNJEVKA 3,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ZVONIGRADSKA ULICA 9,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,NOVA CESTA 85 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ALBAHARIJEVA ULICA 4,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,II. ZAGORSKA ULICA 20,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA DRAGUTINA GOLIKA 34 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ANINA ULICA 96,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,PRECKO 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA DOMINIKA MANDICA 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,SLAVENSKOGA ULICA 5,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,SREDNJACI 13,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA RUDOLFA BICANICA 3,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,DRENOVACKA ULICA 30,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,TRG SLAVOLJUBA PENKALE 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,OZALJSKA ULICA 105,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ZAGORSKA ULICA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,KRAPINSKA ULICA 45,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,PRILAZ BARUNA FILIPOVICA 89,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,JARUN BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA MATKA BASTIJANA 52,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA HRVOJA MACANOVICA 2 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,JEZERO BUNDEK,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,BALOTIN PRILAZ BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-ZAPAD,GRAD ZAGREB,ZAGREB,ULICA IVANE BRLIC - MAZURANIC 84,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZADRAVLJA VARAZDINSKE zupanije,VARAZDINSKA ZUPANIJA,PODRUTE,PODRUTE 26,42220,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,SLAVONSKA CESTA 4,43000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,NISKA 11,43000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,SLAVONSKA CESTA 15,43000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,CAZMA,KRALJA TOMISLAVA 16,43240,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,STEFANJE,STEFANJE 94,43246,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,IVANSKA,PETRA PRERADOVICA 3,43231,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,VELIKA PISANICA,ULICA JURJA VLAHOVCA 6,43270,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,SEVERIN,SEVERIN 239,43274,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,SIRAC,STJEPANA RADICA 120,43541,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,ULJANIK,,43507,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,PETRA SVACICA 48,43500,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,STJEPANA RADICA 5,43500,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,STJEPANA RADICA 9,43500,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,DEZANOVAC,DEZANOVAC 308,43506,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,JULIJEV PARK 1,43500,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,KONCANICA,KONCANICA 337,43505,Ambulanta doma zdravlja dislocirana jedinica
